"year";"month";"surface";"city";"district";"street";"n.rooms";"floor";"construction.date";"type";"offer.price";"transaction.price";"m2.price";"condition";"lat";"lon"
2008;1;54;"Warszawa";"Bielany";"Nerudy";3;5;1976;"spoldzielcze";NA;392000;7259;"dobry";52,271139;20,950025
2008;1;56;"Warszawa";"Zoliborz";"Adama Mickiewicza";3;3;1938;NA;640000;640000;11428;"bardzo dobry";52,2689583807279;20,986440181732
2008;1;56;"Warszawa";"Zoliborz";"Slowackiego";2;4;1936;"hipoteczne";620000;620000;11071;"bardzo dobry";52,2689583807279;20,986440181732
2008;1;57;"Warszawa";"Mokotow";"Egejska";3;2;1978;"spoldzielcze";NA;373000;6543;"do remontu";52,1981354;21,0175189
2008;1;73;"Warszawa";"Wawer";"Poludniowa";3;NA;2003;"hipoteczne";NA;665000;9109;"bardzo dobry";52,1965598815688;21,1775207519531
2008;1;75;"Warszawa";"Praga Poludnie";"Nizinna";3;3;2001;NA;754800;670000;8933;"bardzo dobry";52,2434082;21,0859957
2008;9;46;"Warszawa";"Mokotow";"Bacha";2;7;1980;"spoldzielcze";360000;380000;8261;"dobry";52,1981354;21,0175189
2008;1;82;"Warszawa";"Mokotow";"Chodkiewicza";3;1;2005;"hipoteczne";1140000;1100000;13414;"bardzo dobry";52,1981354;21,0175189
2008;1;83;"Warszawa";"Mokotow";"Rzymowskiego";3;2;1997;"spoldzielcze";NA;715000;8614;"bardzo dobry";52,1981354;21,0175189
2008;1;85;"Warszawa";"Wilanow";"Sarmacka";3;2;2006;NA;952000;700000;8235;"bardzo dobry";52,1612492;21,0907702
2008;1;91;"Warszawa";"Mokotow";"Czerska";3;1;2006;NA;939000;939000;10318;"bardzo dobry";52,1981354;21,0175189
2008;1;130;"Warszawa";"Srodmiescie";"Fabryczna";4;2;2006;NA;1490000;1365000;10500;"bardzo dobry";52,229472;21,007614
2008;2;20;"Warszawa";"Srodmiescie";"Bagno";1;7;1970;"hipoteczne";NA;210000;10500;"do remontu";52,229472;21,007614
2008;2;23;"Warszawa";"Srodmiescie";"Okrag";1;NA;1964;"spoldzielcze";240000;240000;10435;"dobry";52,229472;21,007614
2008;2;26;"Warszawa";"Bielany";"Marymoncka";1;6;1964;"hipoteczne";NA;218000;8385;"do remontu";52,271139;20,950025
2008;2;27;"Warszawa";"Srodmiescie";"Al.Jerozolimskie";1;2;1964;"spoldzielcze";NA;223000;8259;"do remontu";52,229472;21,007614
2008;2;27;"Warszawa";"Wola";"Pereca";1;2;1979;"spoldzielcze";NA;245000;9074;"dobry";52,2423796;20,9865915
2008;2;28;"Warszawa";"Ochota";"Archiwalna";1;3;1963;"spoldzielcze";NA;208000;7429;"do remontu";52,2258178;20,9907105
2008;2;29;"Warszawa";"Ochota";"Sachocka";1;10;1972;"spoldzielcze";220000;210000;7241;"dobry";52,2258178;20,9907105
2008;2;29;"Warszawa";"Praga Poludnie";"Zaliwskiego";1;NA;1936;"hipoteczne";150000;120000;4032;"do remontu";52,2434082;21,0859957
2007;10;72;"Warszawa";"Mokotow";"Bacha";4;1;1976;"spoldzielcze";660000;630000;8666;"dobry";52,1981354;21,0175189
2008;2;35;"Warszawa";"Bemowo";"Siemiatycka";2;3;1978;"spoldzielcze";NA;260000;7429;"dobry";52,2606416;20,9285078
2008;2;35;"Warszawa";"Bialoleka";"Odkryta";1;4;2001;"hipoteczne";NA;220000;6286;"dobry";52,3166667;21,0333333
2008;2;35;"Warszawa";"Bemowo";"Obroncow Tobruku";2;1;2005;"hipoteczne";399000;380000;10734;"dobry";52,2606416;20,9285078
2008;2;36;"Warszawa";"Praga Poludnie";"Siennicka";1;4;1965;"hipoteczne";NA;252000;7000;"dobry";52,2434082;21,0859957
2008;2;37;"Warszawa";"Mokotow";"Czerniakowska";2;7;1972;"spoldzielcze";NA;300000;8108;"dobry";52,1981354;21,0175189
2008;2;37;"Warszawa";"Bialoleka";"Paslecka";1;7;2005;"hipoteczne";NA;250000;6757;"dobry";52,3166667;21,0333333
2008;2;37;"Warszawa";"Zoliborz";"Al.Wojska Polskiego";2;1;1969;"spoldzielcze";NA;302200;8168;"dobry";52,2689583807279;20,986440181732
2008;2;38;"Warszawa";"Praga Poludnie";"Wiosenna";2;NA;1971;"spoldzielcze";NA;250000;6579;"dobry";52,2434082;21,0859957
2008;2;38;"Warszawa";"Praga Poludnie";"Braclawska";2;NA;1970;"hipoteczne";NA;248000;6526;"do remontu";52,2434082;21,0859957
2008;2;38;"Warszawa";"Ochota";"Skorochod Majewskiego";1;5;2001;"hipoteczne";399900;399000;10445;"bardzo dobry";52,2258178;20,9907105
2008;2;42;"Warszawa";"Mokotow";"Batumi";2;1;1970;"spoldzielcze";NA;320000;7619;NA;52,1981354;21,0175189
2008;2;46;"Warszawa";"Mokotow";"Bukowinska";2;1;2008;"hipoteczne";465000;465000;10065;"bardzo dobry";52,1981354;21,0175189
2008;2;48;"Warszawa";"Mokotow";"Chelmska";2;4;2007;"hipoteczne";500000;495000;10313;"do wykonczenia";52,1981354;21,0175189
2008;2;50;"Warszawa";"Bemowo";"Kossutha";2;3;1982;"spoldzielcze";364500;364500;7290;"dobry";52,2606416;20,9285078
2008;2;57;"Warszawa";"Mokotow";"Bacha";3;2;1976;"spoldzielcze";480000;460000;8042;"dobry";52,1981354;21,0175189
2008;2;54;"Warszawa";"Bielany";"Nerudy";3;5;1976;"spoldzielcze";NA;392000;7259;"dobry";52,271139;20,950025
2008;2;55;"Warszawa";"Mokotow";"Bukowinska";2;1;2008;"hipoteczne";NA;560000;10182;"do wykonczenia";52,1981354;21,0175189
2008;2;56;"Warszawa";"Mokotow";"Al.Niepodleglosci";2;2;2007;NA;724000;735000;13125;NA;52,1981354;21,0175189
2008;2;56;"Warszawa";"Srodmiescie";"Inflancka";2;2;2005;NA;750000;770000;13750;NA;52,229472;21,007614
2008;2;56;"Warszawa";"Mokotow";"Chelmska";2;3;2007;"hipoteczne";575000;565000;10089;"do wykonczenia";52,1981354;21,0175189
2008;2;57;"Warszawa";"Mokotow";"Egejska";3;2;1978;"spoldzielcze";NA;373000;6544;"do remontu";52,1981354;21,0175189
2008;2;57;"Warszawa";"Ursynow";"Villardczykow";2;NA;2001;"hipoteczne";NA;550000;9649;"bardzo dobry";52,1546202;21,0339492
2008;2;57;"Warszawa";"Bielany";"Perzynskiego";3;NA;1960;"spoldzielcze";395000;390000;6842;"do remontu";52,271139;20,950025
2008;9;35,4;"Warszawa";"Mokotow";"Bruna";2;10;1973;"spoldzielcze";NA;360000;10169;"bardzo dobry";52,1981354;21,0175189
2007;12;21;"Warszawa";"Mokotow";"Bruna";1;8;1968;"spoldzielcze";NA;220000;10476;"bardzo dobry";52,1981354;21,0175189
2008;2;63;"Warszawa";"Mokotow";"Chelmska";3;3;2007;"hipoteczne";638000;606000;9619;"do wykonczenia";52,1981354;21,0175189
2009;8;44;"Warszawa";"Mokotow";"Bruna";2;4;1963;"spoldzielcze";375000;360000;8090;"dobry";52,1981354;21,0175189
2008;2;73;"Warszawa";"Mokotow";"Chelmska";3;3;2007;"hipoteczne";742000;690000;9452;"do wykonczenia";52,1981354;21,0175189
2008;2;73;"Warszawa";"Mokotow";"Chelmska";3;4;2007;"hipoteczne";687800;690000;9452;"do wykonczenia";52,1981354;21,0175189
2008;2;74;"Warszawa";"Mokotow";"Chelmska";3;2;2007;"hipoteczne";696350;637000;8608;"do wykonczenia";52,1981354;21,0175189
2008;2;81;"Warszawa";"Jozefoslaw";"Ogrodowa";3;NA;2007;"hipoteczne";648000;635000;7840;"do wykonczenia";52,1007059622223;21,0480880737305
2008;2;82;"Warszawa";"Mokotow";"Pulawska";2;1;1935;NA;1080000;930000;11341;NA;52,1981354;21,0175189
2008;2;82;"Warszawa";"Ochota";"Drawska";3;NA;2001;"hipoteczne";1050000;1050000;12712;"bardzo dobry";52,2258178;20,9907105
2008;2;83;"Warszawa";"Mokotow";"Rzymowskiego";3;2;1997;"spoldzielcze";NA;715000;8614;"bardzo dobry";52,1981354;21,0175189
2009;3;45;"Warszawa";"Bielany";"Gwiazdzista";2;10;1983;"spol.wlasn.";NA;285000;6333;"dobry";52,271139;20,950025
2008;2;111;"Warszawa";"Wola";"Mila";4;6;2002;"hipoteczne";1990000;1780000;16007;"bardzo dobry";52,2423796;20,9865915
2008;2;125;"Warszawa";"Wilanow";"Krolowej Marysienki";3;4;1997;NA;1450000;999000;7992;"bardzo dobry";52,1612492;21,0907702
2007;6;102;"Warszawa";"Zoliborz";"Gwiazdzista";3;1;2000;"hipoteczne";960000;910000;8908;"dobry";52,2689583807279;20,986440181732
2008;3;24;"Warszawa";"Wola";"Sowinskiego";1;4;1973;"spoldzielcze";200000;199000;8122;"dobry";52,2423796;20,9865915
2008;3;26;"Warszawa";"Srodmiescie";"Grzybowska";1;7;1968;"spoldzielcze";NA;280000;10769;"dobry";52,229472;21,007614
2008;3;28;"Warszawa";"Mokotow";"Raclawicka";1;2;1976;"spoldzielcze";269000;260000;9285;"dobry";52,1981354;21,0175189
2008;3;29;"Warszawa";"Ochota";"Grojecka";1;7;1967;"hipoteczne";NA;213000;7344;"dobry";52,2258178;20,9907105
2008;3;30;"Warszawa";"Srodmiescie";"Al.Jerozolimskie";1;1;1920;"hipoteczne";NA;389000;12966;"bardzo dobry";52,229472;21,007614
2008;3;31;"Warszawa";"Mokotow";"Modzelewskiego";1;7;1974;"hipoteczne";NA;230000;7419;"dobry";52,1981354;21,0175189
2008;3;31;"Warszawa";"Mokotow";"Bluszcznska";1;2;2001;"spoldzielcze";340000;330000;10645;"bardzo dobry";52,1981354;21,0175189
2008;3;31;"Warszawa";"Mokotow";"Modzelewskiego";1;1;1975;"hipoteczne";259000;250000;8064;"dobry";52,1981354;21,0175189
2008;3;31;"Warszawa";"Wilanow";"Sobieskiego";1;10;1976;"spoldzielcze";260000;260000;8387;"bardzo dobry";52,1612492;21,0907702
2008;3;31;"Warszawa";"Mokotow";"Bartoszka";1;NA;1992;"spoldzielcze";290000;265000;8354;"dobry";52,1981354;21,0175189
2008;3;33;"Warszawa";"Praga Poludnie";"Fieldorfa";2;5;2004;"spoldzielcze";NA;330000;10000;"bardzo dobry";52,2434082;21,0859957
2008;3;33;"Warszawa";"Mokotow";"Chelmska";1;8;1968;"hipoteczne";NA;265000;8030;"do remontu";52,1981354;21,0175189
2008;3;33;"Warszawa";"Mokotow";"Sonaty";1;8;1980;"spoldzielcze";299000;282000;8545;"dobry";52,1981354;21,0175189
2008;3;35;"Warszawa";"Wola";"Gorczewska";2;4;1960;"hipoteczne";NA;250000;7142;"do remontu";52,2423796;20,9865915
2008;3;35;"Warszawa";"Bemowo";"Siemiatycka";2;7;1977;"spoldzielcze";NA;262000;7485;"dobry";52,2606416;20,9285078
2008;3;36;"Warszawa";"Ursus";"Dzieci Warszawy";1;8;2003;"hipoteczne";NA;300000;8333;"bardzo dobry";52,1948237075553;20,8845376968384
2008;3;36;"Warszawa";"Ochota";"Korotynskiego";2;3;1970;"spoldzielcze";310000;280000;7777;"dobry";52,2258178;20,9907105
2008;3;37;"Warszawa";"Srodmiescie";"Czerniakowska";2;5;1960;"spoldzielcze";316000;270000;7297;"dobry";52,229472;21,007614
2008;3;39;"Warszawa";"Srodmiescie";"Graniczna";2;11;1970;"spoldzielcze";NA;355000;9102;"dobry";52,229472;21,007614
2008;3;39;"Warszawa";"Targowek";"Zurominska";2;4;1975;"spoldzielcze";277000;277000;7012;"dobry";52,2918531797079;21,0484528541565
2008;9;61;"Warszawa";"Bielany";"Gwiazdzista";3;10;1988;"spoldzielcze";410000;420000;6863;"do remontu";52,271139;20,950025
2008;3;42;"Warszawa";"Zoliborz";"Krasinskiego";2;2;1934;"hipoteczne";470000;462000;10809;"bardzo dobry";52,2689583807279;20,986440181732
2008;3;43;"Warszawa";"Zoliborz";"Krasinskiego";2;1;1937;"spoldzielcze";NA;350000;8139;"dobry";52,2689583807279;20,986440181732
2008;3;43;"Warszawa";"Mokotow";"Wiktorska";2;3;1950;"spoldzielcze";NA;380000;8837;"do remontu";52,1981354;21,0175189
2008;3;44;"Warszawa";"Ursus";"Gorna Droga";2;6;2002;"hipoteczne";317000;317000;7204;"dobry";52,1948237075553;20,8845376968384
2008;3;45;"Warszawa";"Bialoleka";"Barei";2;6;2003;"hipoteczne";349000;345000;7666;"dobry";52,3166667;21,0333333
2008;3;47;"Warszawa";"Praga Poludnie";"Miedzynarodowa";3;9;1970;"hipoteczne";NA;355000;7553;"dobry";52,2434082;21,0859957
2008;3;49;"Warszawa";"Praga Polnoc";"Pl. Hallera";2;3;1950;"hipoteczne";415000;415000;8469;"bardzo dobry";52,2533003;21,0357745
2008;3;50;"Warszawa";"Srodmiescie";"Suligowskiego";2;3;1960;"hipoteczne";425000;405000;8100;"dobry";52,229472;21,007614
2008;3;53;"Warszawa";"Mokotow";"Solankowa";3;NA;1973;"spoldzielcze";NA;442000;8339;"bardzo dobry";52,1981354;21,0175189
2008;3;54;"Warszawa";"Bialoleka";"Strumykowa";2;3;2006;"hipoteczne";429700;425000;7826;"bardzo dobry";52,3166667;21,0333333
2008;3;55;"Warszawa";"Bialoleka";"Botewa Christa";2;NA;2005;"hipoteczne";399999;378000;6774;"bardzo dobry";52,3166667;21,0333333
2008;3;56;"Warszawa";"Mokotow";"Portofino";3;4;1975;NA;450000;425000;7589;"bardzo dobry";52,1981354;21,0175189
2008;3;56;"Warszawa";"Mokotow";"Pulawska";2;4;2002;"spoldzielcze";860000;775000;13839;"bardzo dobry";52,1981354;21,0175189
2008;3;56;"Warszawa";"Srodmiescie";"Zajecza";2;4;1935;"hipoteczne";775000;775000;13716;"dobry";52,229472;21,007614
2008;3;57;"Warszawa";"Mokotow";"Chelmska";2;3;2007;"hipoteczne";584000;570000;10000;"do wykonczenia";52,1981354;21,0175189
2008;3;59;"Warszawa";"Praga Poludnie";"Polskich Skrzydel";3;8;1984;"spoldzielcze";380000;350000;5872;"do remontu";52,2434082;21,0859957
2008;3;60;"Warszawa";"Brwinow";"Lesna";2;1;1938;"hipoteczne";NA;300000;5000;"do remontu";52,15;20,7166667
2008;3;60;"Warszawa";"Brwinow";"Lesna";2;1;1938;"hipoteczne";NA;300000;5000;"do remontu";52,15;20,7166667
2008;3;61;"Warszawa";"Praga Poludnie";"Walecznych";2;2;1938;"hipoteczne";NA;620000;10163;"do remontu";52,2434082;21,0859957
2008;3;61;"Warszawa";"Bemowo";"Lazurowa";3;NA;1979;"spoldzielcze";419000;397000;6442;"dobry";52,2606416;20,9285078
2008;3;62;"Warszawa";"Wola";"Okocimska";3;1;1983;"spoldzielcze";496000;495000;7983;"dobry";52,2423796;20,9865915
2008;3;62;"Warszawa";"Ursynow";"Stryjenskich";3;2;2004;"hipoteczne";670000;655000;10564;"bardzo dobry";52,1546202;21,0339492
2008;3;67;"Warszawa";"Bielany";"Pecicka";2;5;2006;"hipoteczne";771650;743000;11089;"do wykonczenia";52,271139;20,950025
2008;3;67;"Warszawa";"Praga Poludnie";"Okulickiego";3;5;1995;"spoldzielcze";464000;456000;6715;"dobry";52,2434082;21,0859957
2008;3;70;"Warszawa";"Bielany";"Pecicka";3;3;2006;"hipoteczne";690000;690000;9857;"do wykonczenia";52,271139;20,950025
2008;3;73;"Warszawa";"Mokotow";"Chelmska";3;4;2007;"hipoteczne";701100;685000;9383;"do wykonczenia";52,1981354;21,0175189
2008;3;74;"Warszawa";"Zoliborz";"Krasinskiego";3;NA;1955;"spoldzielcze";NA;575000;7770;"do remontu";52,2689583807279;20,986440181732
2008;3;107;"Warszawa";"Ursynow";"KEN";3;3;1999;"spoldzielcze";1135000;1155000;10794;"bardzo dobry";52,1546202;21,0339492
2008;3;113;"Warszawa";"Srodmiescie";"Wilanowska";4;3;2007;NA;1760000;1780000;15752;"do wykonczenia";52,229472;21,007614
2008;3;186;"Warszawa";"Mokotow";"Wielicka";4;10;2000;"hipoteczne";NA;2150000;11559;"bardzo dobry";52,1981354;21,0175189
2008;4;17;"Warszawa";"Srodmiescie";"Koszykowa";1;1;1950;"hipoteczne";200000;198000;11647;"dobry";52,229472;21,007614
2008;4;19;"Warszawa";"Mokotow";"Czerniakowska";1;5;1972;"spoldzielcze";NA;196000;10316;"dobry";52,1981354;21,0175189
2008;4;20;"Warszawa";"Srodmiescie";"Jaktorowska";1;6;1970;"spoldzielcze";NA;190000;9500;"dobry";52,229472;21,007614
2008;4;23;"Warszawa";"Ochota";"Urbanistow";1;9;1960;"hipoteczne";NA;202000;8783;"do remontu";52,2258178;20,9907105
2008;4;23;"Warszawa";"Wola";"Deotymy";1;5;1980;NA;NA;195000;8478;NA;52,2423796;20,9865915
2008;4;24;"Warszawa";"Zoliborz";"Gen.Zajaczka";3;4;1960;"spoldzielcze";NA;220000;9167;"dobry";52,2689583807279;20,986440181732
2008;4;26;"Warszawa";"Praga Poludnie";"Garibaldiego";1;5;2002;"hipoteczne";NA;279000;10731;"bardzo dobry";52,2434082;21,0859957
2008;4;26,5;"Warszawa";"Wlochy";"Zwirki i Wigury";1;4;1960;"spoldzielcze";200000;198000;7472;"do remontu";52,206102;20,914725
2008;4;27;"Warszawa";"Bialoleka";"Skarbka z Gor";1;NA;2004;"hipoteczne";200000;200000;7407;"dobry";52,3166667;21,0333333
2008;4;30;"Warszawa";"Srodmiescie";"Lewartowskiego";1;3;1960;"hipoteczne";NA;300000;10000;"dobry";52,229472;21,007614
2008;4;30;"Warszawa";"Zoliborz";"Sady Zoliborskie";1;NA;1960;"spoldzielcze";NA;255000;8500;"bardzo dobry";52,2689583807279;20,986440181732
2008;4;30;"Warszawa";"Bielany";"Szekspira";1;3;1975;"spoldzielcze";NA;220000;7333;"dobry";52,271139;20,950025
2008;4;31,6;"Warszawa";"Mokotow";"Blacharska";1;9;1980;"spoldzielcze";250000;225000;7120;"dobry";52,1981354;21,0175189
2008;4;32;"Warszawa";"Zoliborz";"Wyspianskiego";1;1;1937;"hipoteczne";375000;360000;11250;"dobry";52,2689583807279;20,986440181732
2008;4;32,5;"Warszawa";"Mokotow";"Podchorazych";1;NA;1950;"spoldzielcze";260000;240000;7385;"dobry";52,1981354;21,0175189
2008;4;33;"Warszawa";"Ochota";"Zadumana";1;4;2003;"hipoteczne";357000;340000;10303;"dobry";52,2258178;20,9907105
2008;9;40;"Warszawa";"Srodmiescie";"Jana Pawla";1;11;2001;"hipoteczne";490000;477600;11940;"bardzo dobry";52,229472;21,007614
2008;4;37;"Warszawa";"Mokotow";"Belwederska";2;3;1969;"spoldzielcze";NA;295000;7973;"dobry";52,1981354;21,0175189
2008;4;38;"Warszawa";"Wola";"Srebrna";2;9;1980;"spoldzielcze";298000;298000;7842;"dobry";52,2423796;20,9865915
2008;4;38;"Warszawa";"Praga Poludnie";"Bliska";2;1;1970;"hipoteczne";NA;299000;7868;"dobry";52,2434082;21,0859957
2008;4;38;"Warszawa";"Mokotow";"Czerniakowska";2;2;1972;"spoldzielcze";299000;280000;7368;"dobry";52,1981354;21,0175189
2008;10;85;"Warszawa";"Wesola";"Jana Pawla";4;2;1998;"hipoteczne";550000;540000;6352;"bardzo dobry";52,252282;21,221988
2008;4;46;"Warszawa";"Targowek";"Askenazego";2;7;1979;"spoldzielcze";350000;310000;6739;"dobry";52,2918531797079;21,0484528541565
2008;4;47;"Warszawa";"Bielany";"Klaudyny";2;7;1978;"hipoteczne";NA;380000;8085;"dobry";52,271139;20,950025
2008;4;49;"Warszawa";"Praga Poludnie";"Saska";3;6;1972;"spoldzielcze";NA;342000;6980;"do remontu";52,2434082;21,0859957
2008;4;50;"Warszawa";"Srodmiescie";"Suligowskiego";2;3;1960;"hipoteczne";425000;405000;8100;"dobry";52,229472;21,007614
2008;4;52;"Warszawa";"Ursynow";"Malej Laki";2;4;1997;"spoldzielcze";NA;400000;7692;"do wykonczenia";52,1546202;21,0339492
2008;4;52;"Warszawa";"Praga Poludnie";"Afrykanska";2;9;1986;"spoldzielcze";420000;409000;7865;"dobry";52,2434082;21,0859957
2008;4;53;"Warszawa";"Ursynow";"Sluzby Polsce";3;1;1981;"spoldzielcze";NA;407000;7679;"dobry";52,1546202;21,0339492
2008;4;58;"Warszawa";"Bialoleka";"Kaminskiego";2;2;1998;"spoldzielcze";NA;400000;6897;"bardzo dobry";52,3166667;21,0333333
2008;4;60;"Warszawa";"Mokotow";"Al.Niepodleglosci";2;4;1950;NA;600000;490000;8167;"dobry";52,1981354;21,0175189
2008;4;61;"Warszawa";"Wilanow";"Gubinowska";2;NA;1978;"spoldzielcze";NA;380000;6230;"bardzo dobry";52,1612492;21,0907702
2008;4;63;"Warszawa";"Mokotow";"Asfaltowa";2;4;1937;"hipoteczne";NA;715000;11349;"do remontu";52,1981354;21,0175189
2008;4;68;"Warszawa";"Wawer";"Ogorkowa/Wawer";3;1;1999;"hipoteczne";NA;480000;7059;"bardzo dobry";52,1965598815688;21,1775207519531
2008;4;72;"Warszawa";"Ochota";"Zapustna";3;2;2000;"spoldzielcze";579000;555000;7708;"dobry";52,2258178;20,9907105
2008;4;81;"Warszawa";"Srodmiescie";"Zagorna";3;2;1938;NA;811000;811000;10012;"do remontu";52,229472;21,007614
2008;4;82;"Warszawa";"Mokotow";"Pulawska";2;1;1935;NA;1080000;1100000;13415;"do wykonczenia";52,1981354;21,0175189
2007;7;97;"Warszawa";"Srodmiescie";"Jana Pawla";3;10;2000;"spoldzielcze";1395000;1340000;13744;NA;52,229472;21,007614
2008;7;26;"Warszawa";"Srodmiescie";"Jana Pawla";1;3;1970;"spoldzielcze";NA;238000;9153;"bardzo dobry";52,229472;21,007614
2009;1;46;"Warszawa";"Wola";"Jana Pawla";2;2;1960;"hipoteczne";NA;327500;7119;"do remontu";52,2423796;20,9865915
2008;4;89;"Warszawa";"Mokotow";"Al.Wilanowska";3;6;2005;NA;1225000;1150000;12921;"bardzo dobry";52,1981354;21,0175189
2008;4;107;"Warszawa";"Mokotow";"Rzymowskiego";4;3;2002;"spoldzielcze";820000;820000;7664;"bardzo dobry";52,1981354;21,0175189
2008;4;130;"Warszawa";"Ochota";"Drawska";4;1;1999;NA;1410000;1410000;10846;"bardzo dobry";52,2258178;20,9907105
2008;5;20;"Warszawa";"Praga Polnoc";"Jagiellonska";1;2;1960;"hipoteczne";NA;167000;8350;"do remontu";52,2533003;21,0357745
2008;5;28;"Warszawa";"Praga Poludnie";"Egipska";1;8;1970;"spoldzielcze";276000;240000;8421;"dobry";52,2434082;21,0859957
2008;5;31;"Warszawa";"Praga Poludnie";"Samolotowa";1;8;1986;"hipoteczne";NA;226000;7142;"dobry";52,2434082;21,0859957
2009;5;27;"Warszawa";"Srodmiescie";"Jana Pawla";2;5;1967;"spol.wlasn.";NA;224000;8296;"do remontu";52,229472;21,007614
2008;5;35;"Warszawa";"Srodmiescie";"Moniuszki";2;5;1967;"hipoteczne";320000;310000;8734;"dobry";52,229472;21,007614
2008;5;35;"Warszawa";"Mokotow";"Mozarta";1;9;1980;"spoldzielcze";315000;303000;8607;"dobry";52,1981354;21,0175189
2008;5;35;"Warszawa";"Ursus";"Slawka Walerego";2;2;1966;"spoldzielcze";NA;220000;6285;"do remontu";52,1948237075553;20,8845376968384
2008;5;36;"Warszawa";"Srodmiescie";"Zlota";2;1;1970;"hipoteczne";NA;376000;10444;"do remontu";52,229472;21,007614
